键名,类型,中文名称,中文描述,text
ORG_NO,VARCHAR2(16),供电单位编码,该字段存储用户所在的供电单位的编码，供电单位编码黑龙江省是234开头的层级关系，编码23101特殊代表黑龙江省公司，其他长度5位的23401至23419是黑龙江省的18个地市单位，具体的对应信息存储在sa_org表中，长度是7位的区县公司，长度9位的是供电公司，用电客户都是对应9位长度的单位编码，可以通过单位编码的长度分组来确定不同供电单位,供电单位编码该字段存储用户所在的供电单位的编码，供电单位编码黑龙江省是234开头的层级关系，编码23101特殊代表黑龙江省公司，其他长度5位的23401至23419是黑龙江省的18个地市单位，具体的对应信息存储在sa_org表中，长度是7位的区县公司，长度9位的是供电公司，用电客户都是对应9位长度的单位编码，可以通过单位编码的长度分组来确定不同供电单位
CONS_ID,NUMBER(16),用电用户的唯一ID,该字段为营销系统中用电用户的用户ID，是唯一存在的，与用户编号不是同一字段，一般在系统前台不显示用户id，操作人员都通过用户编号进行确认用户信息，用户ID多用户后台数据库条件关联使用。,用电用户的唯一ID该字段为营销系统中用电用户的用户ID，是唯一存在的，与用户编号不是同一字段，一般在系统前台不显示用户id，操作人员都通过用户编号进行确认用户信息，用户ID多用户后台数据库条件关联使用。
CONS_NO,VARCHAR2(16),用户编号,该字段为营销系统中用电用户的用户编号，是唯一存在的，在系统前台查询用户信息、电费信息等功能时，是主要查询条件。是操作人员最常用的查询字段。,用户编号该字段为营销系统中用电用户的用户编号，是唯一存在的，在系统前台查询用户信息、电费信息等功能时，是主要查询条件。是操作人员最常用的查询字段。
CONS_NAME,VARCHAR2(256),用户名称,该字段为营销系统中用电用户的用户名称，与证件信息中的身份证证件名称应该一直，或者与工商营业执照一致。,用户名称该字段为营销系统中用电用户的用户名称，与证件信息中的身份证证件名称应该一直，或者与工商营业执照一致。
ELEC_ADDR,VARCHAR2(256),用电地址,该字段为营销系统中用电用户的用电地址，与c_elec_addr中的信息应该一致，关联条件用cons_id关联。,用电地址该字段为营销系统中用电用户的用电地址，与c_elec_addr中的信息应该一致，关联条件用cons_id关联。
CONS_SORT_CODE,VARCHAR2(256),用户分类,"该字段在营销系统中每个用户都对应一个用户分类，用户分类的码表prop_type_id = 'cust_type_code',一般常见分为四类，00为考核用户，该用户用电类别ELEC_TYPE_CODE字段匹配，是考核类的用户，这种用户只计量不计费，不会产生应收电费；01为高压，与VOLT_CODE字段相匹配，在营销系统中认为非220V和380V的电压等级的用户都属于高压类别；02为低压非居民，首先这类用户的VOLT_CODE字段应为220V和380V，属于低压范围内，并且用户的用电类别ELEC_TYPE_CODE应该是3或者4开头的；03为低压居民，这类用户的VOLT_CODE字段应为220V和380V，属于低压范围内，并且用户的用电类别ELEC_TYPE_CODE应该是2开头的。","用户分类该字段在营销系统中每个用户都对应一个用户分类，用户分类的码表prop_type_id = 'cust_type_code',一般常见分为四类，00为考核用户，该用户用电类别ELEC_TYPE_CODE字段匹配，是考核类的用户，这种用户只计量不计费，不会产生应收电费；01为高压，与VOLT_CODE字段相匹配，在营销系统中认为非220V和380V的电压等级的用户都属于高压类别；02为低压非居民，首先这类用户的VOLT_CODE字段应为220V和380V，属于低压范围内，并且用户的用电类别ELEC_TYPE_CODE应该是3或者4开头的；03为低压居民，这类用户的VOLT_CODE字段应为220V和380V，属于低压范围内，并且用户的用电类别ELEC_TYPE_CODE应该是2开头的。"
ELEC_TYPE_CODE,VARCHAR2(256),用电类别,"该字段在营销系统中每个用户都对应一个用户用电类别，用户分类的码表prop_type_id = 'elec_type_code',这个字段一般与 P_CODE字段匹配，一般常见分为六类，0开头的为考核类，在营销系统中这种用户一般都是台区总表或者关口考核表，多为监测计算线损用，只计量不计费，1开头为大工业用电用户，一般大工业用户是要收取基本电费。2开头为居民类用电用户。3开头为农业生产用户。4开头为一般工商业用户。5开头为趸售用户。9开头为分布式电源用户。","用电类别该字段在营销系统中每个用户都对应一个用户用电类别，用户分类的码表prop_type_id = 'elec_type_code',这个字段一般与 P_CODE字段匹配，一般常见分为六类，0开头的为考核类，在营销系统中这种用户一般都是台区总表或者关口考核表，多为监测计算线损用，只计量不计费，1开头为大工业用电用户，一般大工业用户是要收取基本电费。2开头为居民类用电用户。3开头为农业生产用户。4开头为一般工商业用户。5开头为趸售用户。9开头为分布式电源用户。"
CONTRACT_CAP,NUMBER,用户合同容量,合同容量指这个用户在报装时所需要应用到的最大负荷的上限值，如果是专变用户或者高压用户，则是用户下所有非拆除状态的变压器的铭牌容量的合计。,用户合同容量合同容量指这个用户在报装时所需要应用到的最大负荷的上限值，如果是专变用户或者高压用户，则是用户下所有非拆除状态的变压器的铭牌容量的合计。
RUN_CAP,NUMBER,用户运行容量,运行容量，如果是专变用户或者高压用户，则是用户下所有运行状态的变压器的铭牌容量的合计。低压用户运行容量与合同容量一致。,用户运行容量运行容量，如果是专变用户或者高压用户，则是用户下所有运行状态的变压器的铭牌容量的合计。低压用户运行容量与合同容量一致。
VOLT_CODE,VARCHAR2(256),电压等级,指用户的电压等级，此处电压等级指用户的供电电压，与用户执行的电价对应的电压等级应相符，同时这个电压等级AC02202和AC03802为低压，非AC02202和AC03802均为高压用户。,电压等级指用户的电压等级，此处电压等级指用户的供电电压，与用户执行的电价对应的电压等级应相符，同时这个电压等级AC02202和AC03802为低压，非AC02202和AC03802均为高压用户。
